filename,last_timestamp,min_obs,max_obs
5104001_RF,2019-05-30 05:15:00,0.0,11.8
5104010_RF,2019-05-30 00:45:00,0.0,26.4
5105051_RF,2019-05-30 00:45:00,0.0,32.3
5105053_RF,2019-05-30 00:30:00,,
5105459_RF,2019-05-30 05:15:00,0.0,49.0
5204048_RF,2019-05-30 00:45:00,0.0,2.5
5204049_RF,2019-05-30 00:45:00,,
5204423_RF,2019-05-30 00:15:00,,
5204424_RF,2019-05-30 00:00:00,0.0,27.0
5205052_RF,2019-05-30 00:45:00,,
5205054_RF,2019-05-30 05:15:00,,
5215061_RF,2019-05-30 04:45:00,,
5302001_RF,2019-05-30 05:15:00,0.0,4.0
5302002_RF,2019-05-30 00:30:00,,
5302003_RF,2019-05-30 04:45:00,,
5302004_RF,2019-05-30 05:00:00,0.0,58.0
5302407_RF,2019-05-30 05:15:00,,
5303053_RF,2019-05-30 05:00:00,0.0,0.0
5304044_RF,2019-05-30 01:00:00,,
5304045_RF,2019-05-30 05:00:00,0.0,2.0
5304046_RF,2019-05-30 05:15:00,0.0,4.0
5402001_RF,2019-05-30 05:15:00,,
5402002_RF,2019-05-30 05:15:00,,
5402003_RF,2019-05-30 00:45:00,0.0,0.0
5403001_RF,2019-05-30 05:15:00,0.0,14.0
5403043_RF,2019-05-30 04:45:00,,
5403406_RF,2019-05-30 00:45:00,0.0,32.0
5404041_RF,2019-05-30 00:45:00,0.0,1.0
5404043_RF,2019-05-30 00:30:00,0.0,0.0
5404044_RF,2019-05-30 05:15:00,,
5404045_RF,2019-05-30 00:45:00,0.0,1.0
5404054_RF,2019-05-30 04:45:00,0.0,0.0
5404055_RF,2019-05-30 05:00:00,0.0,0.0
5404060_RF,2019-05-30 05:15:00,0.0,0.0
5404401_RF,2019-05-30 00:45:00,,
5405001_RF,2019-05-30 05:15:00,0.0,0.3
5405422_RF,2019-05-30 05:15:00,0.0,0.3
5503001_RF,2019-05-30 05:15:00,,
5503034_RF,2019-05-30 05:15:00,,
5503401_RF,2019-05-30 05:15:00,,
5503402_RF,2019-05-30 00:45:00,,
5503403_RF,2019-05-30 00:45:00,,
5504032_RF,2019-05-30 05:15:00,,
5504035_RF,2019-05-30 05:15:00,0.0,7.0
5504036_RF,2019-05-30 00:45:00,0.0,0.0
5505032_RF,2019-05-30 04:45:00,0.0,2.0
5505033_RF,2019-05-30 05:15:00,0.0,0.4
5505413_RF,2019-05-30 05:15:00,,
5608074_RF,2019-05-30 00:15:00,,
ABMRF,2018-10-16 15:45:00,0.0,29.0
AIRHITAMRF,2020-01-09 11:00:00,0.0,0.0
AIRITAMRF,2019-05-07 13:15:00,,
AIRPUTIHTASEKJUNJUNGRF,2020-04-03 19:45:00,0.0,57.0
BAGANBUAYARF,2019-11-14 07:45:00,0.0,0.0
BATUKAWANRF,2020-04-03 15:30:00,0.0,2.0
BGBUAYARF,2020-04-03 19:15:00,0.0,7.0
BKTBENDERARF,2019-08-27 00:30:00,0.0,0.0
BUKITKEMBOJARF,2018-04-19 15:45:00,0.0,14.5
BUMBNGLIMARF,2019-05-07 00:00:00,,
BakarKaporRF,2019-11-06 09:45:00,,
BberanganRF,2019-11-06 09:45:00,,
BendangManRF,2019-11-06 09:45:00,0.0,24.0
BerisDamRF,2020-04-03 18:00:00,0.0,9.5
BerisRF,2018-04-19 15:45:00,0.0,0.0
Bt5SgCepirRF,2019-11-06 09:45:00,0.0,0.0
Bt61BalingRF,2019-11-06 09:45:00,0.0,4.5
