filename,last_timestamp,min_obs,max_obs
ANSIPWL,2019-11-05 23:45:00,,
BALATWL,2019-11-05 23:45:00,,
BAREKMANISWL,2019-11-05 23:45:00,,
BEAUFORTWL,2019-11-06 09:45:00,3.84,5.79
BIAHWL,2019-11-05 23:45:00,,
KEMABONGWL,2019-11-05 23:45:00,,
KERANAANWL,2019-11-05 23:45:00,,
STN177WL,2019-03-06 02:00:00,236.41,236.41
STN178WL,2019-10-30 09:00:00,,
STN181WL,2019-10-30 09:00:00,3.8,5.85
STN182WL,2019-10-28 18:30:00,253.56,254.03
STN183WL,2019-10-30 09:00:00,191.8,192.86
STN184WL,2019-10-30 10:00:00,563.94,564.28
STN185WL,2019-10-30 09:00:00,,
STN187WL,2018-11-04 18:00:00,176.52,176.9
TANGKULAPWL,2019-11-05 23:45:00,,
TENOMWL,2019-11-05 23:45:00,,
ULUKUAMUTWL,2019-11-05 23:45:00,,
