filename,last_timestamp,min_obs,max_obs
AMAN5BRIDGEWL,2022-08-30 08:45:00,30.99,31.42
AMBASWL,2022-08-30 08:45:00,1.28,4.8
AsajayaWaterIntakeWL,2022-08-29 23:45:00,,
BARRAGEWL,2022-08-30 08:45:00,-0.66,0.57
BATUKITANGWL,2022-08-30 08:45:00,1.65,2.11
BAUBRIDGEWL,2022-08-30 08:45:00,5.11,5.8
BAUSUNGAIWL,2022-08-30 08:45:00,13.14,13.65
BELAGAWL,2022-08-29 23:45:00,,
BINTANGORWL,2022-08-30 08:45:00,0.4,2.48
BUANBIDIWL,2022-08-30 08:45:00,10.69,11.39
BatuGongWL,2022-08-30 08:45:00,2.46,2.75
BatuKawaBridgeWL,2022-08-30 08:45:00,-0.63,0.41
BatuNiahWL,2021-04-17 23:45:00,,
BekenuWL,2017-06-19 23:45:00,,
BeluruWL,2022-08-30 08:45:00,2.24,2.49
BintuluBelagaRoadWL,2022-08-30 08:45:00,4.01,8.51
BintuluKastamWharfWL,2022-08-29 23:45:00,,
CENTRALPARKWL,2022-08-30 08:45:00,0.05,1.63
DAROWL,2022-08-30 08:45:00,2.42,5.15
DESAWIRAWL,2022-08-30 08:45:00,0.36,0.66
DURINBAZAARWL,2022-08-30 08:45:00,2.1,3.43
DausanWL,2022-08-29 23:45:00,,
ENTAWAUWL,2022-08-30 08:45:00,5.79,7.26
ENTEBAN2WL,2022-08-30 08:45:00,0.34,2.93
EXPRESSTERMINALWL,2022-08-29 23:45:00,,
GAATBWL,2022-08-29 23:45:00,,
GEDONGWL,2022-08-30 08:45:00,-0.85,3.67
GIAMPASANGBWL,2022-08-29 23:45:00,,
IGANWL,2022-08-30 08:45:00,0.24,1.87
JABATANLAUTWL,2022-08-30 08:45:00,0.59,2.5
KABAHWL,2022-08-30 08:45:00,2.98,4.04
KABANGWL,2022-08-30 08:45:00,0.93,3.69
KANOWITTOWNWL,2022-08-30 08:45:00,2.6,3.72
KAPITTOWNWL,2022-08-30 08:45:00,9.26,11.0
KAPITWL,2022-08-30 08:45:00,10.43,12.33
KPGGITWL,2022-08-30 08:45:00,4.22,5.69
KPGRAYUWL,2021-04-17 23:45:00,,
KPGSALAKWL,2022-08-30 08:45:00,-3.12,0.97
KPGSEJINKATWL,2017-06-19 23:45:00,,
KRUSINWL,2022-08-30 08:45:00,10.23,11.37
KUALABALINGIANWL,2022-08-30 08:45:00,-0.43,0.92
KUALASGMAONGWL,2022-08-30 08:45:00,0.85,1.7
KUALATATAUWL,2022-08-30 08:45:00,-1.22,0.13
KualaBinyoWL,2022-08-29 23:45:00,2.0,3.18
KualaLawasWL,2022-08-30 08:45:00,-1.13,0.54
KualaTutongWL,2022-08-30 08:45:00,1.41,2.65
LEBAANWL,2022-08-30 08:45:00,0.34,3.2
LIOMATUWL,2022-08-30 08:45:00,0.91,1.38
LONGAKAHWL,2022-08-30 08:45:00,1.55,1.95
LimbangDIDWL,2022-08-30 08:45:00,-0.79,0.68
LongJeganWL,2022-08-30 08:45:00,5.83,9.09
LongLamaWL,2022-08-29 23:45:00,,
LongPanaiWL,2022-08-30 08:45:00,2.6,3.75
LongTengoaWL,2022-08-29 23:45:00,2.13,2.27
LongTeruWL,2022-08-29 23:45:00,,
MACHANWL,2022-08-30 08:45:00,3.29,4.55
MALIHAHWL,2022-08-30 08:45:00,2.84,5.3
MAONGTNGHKIRIWL,2021-04-17 23:45:00,,
MATUWL,2022-08-30 08:45:00,-0.37,1.13
MERINGGUWL,2022-08-30 08:45:00,10.63,11.42
MIDBRUITWL,2022-08-29 23:45:00,,
MUKEHWL,2022-08-29 23:45:00,,
MarudiWL,2022-08-30 08:45:00,1.08,2.29
MidSungaiKuapWL,2022-08-30 08:45:00,1.0,2.67
MiriDIDWL,2022-08-30 08:45:00,0.71,1.89
MukahJKRWL,2022-08-30 08:45:00,-1.13,0.35
MuputWL,2022-08-29 23:45:00,,
NGBENINWL,2022-08-30 08:45:00,13.99,15.3
NGLEMAIBWL,2021-04-17 23:45:00,,
NGMERURUNGWL,2022-08-29 23:45:00,,
NGSEBATUWL,2022-08-30 08:45:00,8.02,9.61
NangaInsungaiWL,2022-08-29 23:45:00,,
NangaMeritWL,2022-08-30 08:45:00,15.34,15.78
NangaSamuWL,2022-08-29 23:45:00,,
OyaWaterWorksWL,2022-08-29 23:45:00,,
PADUNGANWL,2022-08-30 08:45:00,-0.55,0.7
PERMAIJAYAWL,2022-08-29 23:45:00,1.92,1.92
PULAULAKEIWL,2022-08-29 23:45:00,,
PUNANBAHBWL,2022-08-30 08:45:00,5.03,5.97
PanaiBinionWL,2017-06-19 23:45:00,,
RAMPANGIWL,2022-08-30 08:45:00,-3.4,0.72
RANTAUPANJANGWL,2022-08-30 08:45:00,-0.3,1.19
